,Roll Number,Total Attendence,%
0,17001011013,3,75
1,17001011022,4,100
2,18001011001,4,100
3,18001011002,4,100
4,18001011003,4,100
5,18001011004,4,100
6,18001011006,4,100
7,18001011007,4,100
8,18001011008,4,100
9,18001011009,4,100
10,18001011010,4,100
11,18001011011,4,100
12,18001011014,2,50
13,18001011017,2,50
14,18001011018,2,50
15,18001011019,2,50
16,18001011020,4,100
17,18001011021,4,100
18,18001011022,4,100
19,18001011023,4,100
20,18001011024,4,100
21,18001011025,4,100
22,18001011028,4,100
23,18001011029,4,100
24,18001011030,4,100
25,18001011032,4,100
26,18001011033,4,100
27,18001011034,4,100
28,18001011035,4,100
29,18001011036,4,100
30,18001011037,4,100
31,18001011040,4,100
32,18001011041,4,100
33,18001011042,4,100
34,18001011043,4,100
35,18001011044,4,100
36,18001011045,4,100
37,18001011046,4,100
38,18001011048,4,100
39,18001011049,4,100
40,18001011050,4,100
41,18001011051,4,100
42,18001011052,4,100
43,18001011054,4,100
44,18001011057,4,100
45,18001011059,4,100
46,18001011061,4,100
47,18001011063,4,100
48,18001011064,4,100
49,18001011066,4,100
50,19001003119,1,25
51,19001003125,1,25
52,19001011502,4,100
53,19001011503,4,100
54,19001011506,3,75
55,19001011507,3,75
